SampleID,Plant height,Node number,Chlorophyll,NFI,gsw,Transpiration,Shoot biomass,pH,NAG,BG
P1,24,12,0.54,1.33,0.23,9.09,23.67,6.43,0.6893,2.14846
P2,13,7,0.57,0.76,0.25,10.08,3.63,6.05,0.78894,2.39936
P3,27,10,0.57,0.69,0.18,7.37,26.16,6.45,0.63948,2.34918
P4,14,9,0.73,0.79,0.08,3.6,7.33,6.04,0.78894,2.19864
P5,19,13,0.59,0.76,0.17,7.02,26.87,6.47,0.6893,3.20224
P6,14,9,0.65,0.59,0.03,1.76,7.45,6.06,0.83876,2.44954
P7,24,12,0.6,1.26,0.04,2.15,23.5,6.4,0.58966,3.40296
P8,14,8,0.52,0.48,0.08,3.6,8.39,6.04,0.83876,3.45314
P9,43,11,0.37,0.29,0.25,9.88,20.63,6.63,0.73912,3.40296
P10,32,10,0.51,0.45,0.18,8.08,18.95,6.45,0.78894,1.94774
P11,22,8,0.55,0.54,0.08,3.71,8.8,5.7,0.83876,2.0481
P12,22,9,0.51,0.4,0.04,1.96,8.18,5.6,0.83876,1.94774
P13,51,12,0.59,0.57,0.17,7.42,22.03,6.35,0.73912,2.0481
P14,42,13,0.66,0.65,0.14,6.01,15.93,6.64,0.73912,2.09828
P15,21,8,0.54,0.5,0.03,1.84,5.67,6.9,0.78894,2.14846
P16,23,7,0.56,0.58,0.06,3.53,6.23,5.8,0.83876,2.09828
P17,29,11,0.66,0.58,0.253287,5.2054,36.5,6.4,0.73912,2.24882
P18,35,12,0.6,0.6,0.318494,6.442483,29.5,6.5,0.63948,2.34918
P19,33,11,0.6,0.69,0.214296,5.095685,36.46,6.42,0.58966,2.39936
P20,25,11,0.51,0.63,0.109222,3.046314,16.45,5.9,0.83876,2.65026
P21,23,11,0.5,0.73,0.10113,3.167649,18.58,5.9,0.88858,2.60008
P22,29,11,0.66,0.58,0.253287,5.2054,36.5,6.54,0.63948,2.65026
P23,19,9,0.5,0.6,0.121443,3.105717,16.82,5.96,0.83876,2.65026
P24,22,9,0.47,0.56,0.114862,3.206203,15.05,6,0.88858,2.19864
P25,125,14,0.75,0.83,0.239351,6.223347,30.56,6.35,0.83876,2.19864
P26,55,11,0.27,0.25,0.149063,4.316456,16.76,5.7,0.88858,2.24882
P27,83,14,0.51,0.55,0.394681,6.760637,20.32,6.06,0.78894,2.19864
P28,51,10,0.45,0.49,0.153358,3.756131,12.91,5.8,0.9384,2.299
P29,113,14,0.61,0.56,0.322688,6.388507,36.5,6.76,0.78894,2.39936
P30,86,11,0.78,0.83,0.294909,5.745299,16.25,5.94,0.88858,2.39936
P31,63,11,0.61,0.57,0.182003,4.315585,33.91,6.34,0.78894,2.65026
P32,38,10,0.4,0.36,0.145751,3.887893,13.85,5.85,0.9384,2.75062
P33,28,12,0.42,0.49,0.1893,5.563943,43.58,6.65,1.03804,2.75062
P34,26,11,0.48,0.46,0.19826,6.256705,34.18,6.43,1.03804,2.70044
P35,22,11,0.49,0.45,0.004423,0.189704,18.25,5.93,1.08786,2.85098
P36,25,12,0.37,0.37,0.005627,0.234774,23.37,5.89,1.03804,2.90116
P37,21,11,0.31,0.31,0.03731,1.199487,17.96,5.98,1.08786,2.90116
P38,29,12,0.27,0.29,0.214492,7.751166,20.03,5.68,1.08786,2.90116
P39,32,12,0.72,0.68,0.044254,1.337436,41.51,6.39,1.03804,2.24882
P40,23,11,0.72,0.68,0.20726,6.507168,39.94,6.43,0.98822,2.19864
P41,135,11,0.68,0.79,0.503636,12.687901,48.85,6.42,0.98822,2.24882
P42,64,12,0.25,0.24,0.098691,3.457227,12.44,5.76,1.1875,2.39936
P43,133,12,0.75,0.78,0.301976,7.393968,39.63,6.46,1.03804,2.39936
P44,113,12,0.53,0.69,0.174284,4.987291,34.59,6.36,1.03804,2.44954
P45,169,15,0.79,0.79,0.503636,12.687901,36.46,6.94,0.98822,2.44954
P46,53,11,0.14,0.1,0.048759,2.217326,15.48,5.89,1.23732,2.85098
P47,64,13,0.13,0.12,0.009426,0.316745,13.43,5.84,1.23732,2.90116
P48,113,14,0.2,0.15,0.002377,0.110162,14.06,5.75,1.23732,2.90116
P49,27,11,0.16,0.15,0.125327,3.272075,40.12,6.7,1.13768,2.95134
P50,22,11,0.2,0.19,0.169329,4.443022,29.75,6.5,1.08786,3.20224
P51,25,9,0.3,0.36,-0.040709,-1.75645,19.89,5.89,1.23732,3.15206
P52,24,12,0.2,0.19,0.004137,0.161704,29.43,5.88,1.23732,3.20224
P53,27,10,0.38,0.47,0.059039,2.404932,24.05,5.79,1.1875,2.44954
P54,24,12,0.2,0.19,0.025411,0.940819,59.01,6.2,1.13768,2.44954
P55,21,11,0.2,0.17,0.007849,0.271121,23.01,5.79,1.23732,2.39936
P56,25,10,0.35,0.38,0.014097,0.588766,42.96,6.06,1.13768,2.44954
P57,125,16,0.15,0.11,0.00091,0.03916,11.82,5.84,1.33696,2.39936
P58,138,14,0.71,0.88,0.153273,4.131316,27.3,6.87,1.08786,2.49972
P59,130,14,0.56,0.63,0.147472,4.862232,47.65,6.78,1.08786,2.44954
P60,98,13,0.09,0.06,0.00091,0.03916,22.62,5.59,1.38678,2.90116
P61,152,14,0.56,0.63,-0.060301,-2.418422,55.42,6.79,1.03804,2.95134
P62,121,16,0.09,0.06,0.001676,0.073296,20.08,5.84,1.38678,3.00152
P63,140,13,0.69,0.8,0.077306,2.663966,50.97,6.78,1.08786,2.95134
P64,155,14,0.26,0.3,-0.011688,-0.504777,13.04,5.85,1.4366,3.45314